uin,cohort_sem,cohort_year
103002607,Spring,2022
130008449,Spring,2022
130009131,Spring,2022
131002092,Spring,2022
131009135,Spring,2022
131009522,Spring,2022
132001696,Spring,2022
228007288,Spring,2022
231007053,Spring,2022
331000342,Spring,2022
331000350,Spring,2022
428002625,Spring,2022
431005196,Spring,2022
431006775,Spring,2022
523001993,Spring,2022
530008302,Spring,2022
531000088,Spring,2022
531001656,Spring,2022
630002558,Spring,2022
631003709,Spring,2022
728006263,Spring,2022
830004069,Spring,2022
831003428,Spring,2022
928006628,Spring,2022
930005079,Spring,2022
931005598,Spring,2022
931005660,Spring,2022